NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
2490000,2490024,-102.0206,10.4226,5.2123,1514.9417,3.1833,6.628,66.1178,647.9,832,339
210000,210032,-102.4285,8.1274,5.4535,1469.6976,4.0654,6.2154,84.5563,5157.25,20683,2741
210000,210011,-94.1608,76.1077,42.3032,73.9559,15.5351,47.4967,37.8297,3154.86,20683,2741
1210000,1210011,-98.7219,28.0582,12.8307,844.805,7.9177,18.548,65.768,1098.17,313211,10163
790000,790024,-98.8396,28.3823,12.9465,1029.0345,7.8772,17.9022,53.9917,1591.48,22518,881
3300000,3300012,-100.1968,14.0499,8.9637,935.97,8.9184,10.5744,69.1531,3567.03,7809263,353
100000,100012,-99.2721,10.3782,4.8563,904.6627,3.1304,6.2674,64.1624,728.59,4,11
1320000,1320012,-98.7705,36.8339,26.4984,547.2822,17.7866,30.6275,55.2752,3415.47,68647,2232
220000,220033,-105.7773,6.9621,4.9848,1226.8633,3.5198,4.1881,62.953,2541.48,9105840,1322
240000,240032,-103.0652,11.8736,6.8425,1894.8584,6.0757,8.5809,82.0761,930.95,317,0
1600000,1600012,-101.2143,9.1731,4.2798,1274.3664,2.2055,6.4511,79.2088,1950.3,514,167
1340000,1340011,-98.2462,36.9942,15.3569,764.4765,9.5184,11.4524,62.1017,492.74,1734,852
1760000,1760031,-104.5348,8.924,6.2247,360.8083,3.7136,6.8154,58.9261,8369.13,53164346,8707
2800000,2800013,-96.6502,26.5457,13.998,797.4656,6.465,17.8971,59.3879,5770.13,2858,368
3220000,3220013,-99.0342,52.3963,29.1333,64.9055,10.6113,28.8371,46.4797,3998.57,521258,184
2650000,2650021,-102.3142,14.9244,7.2908,988.3128,4.3446,10.5872,50.8505,3307.15,9611,3181
2310000,2310021,-104.443,9.4734,5.9208,1589.4371,4.6914,7.4776,63.4603,1144.13,1,356
2800000,2800022,-104.6593,8.094,4.1167,1055.7472,2.547,5.8632,63.6662,6768.87,2858,368
570000,570013,-95.2025,31.5439,16.5825,687.3587,5.8822,21.3264,55.0332,2992.97,29146,116691
3110000,3110023,-103.8713,31.6532,20.9178,352.757,15.6662,24.8973,38.8619,5988.59,2171448,1640
420000,420021,-104.4714,6.9415,3.8939,1584.0847,2.0134,4.681,81.756,873.24,6113,614
2850000,2850033,-101.4236,30.4551,24.9613,626.9193,19.0212,25.3776,56.6932,8045.02,1522551,0
1670000,1670022,-102.2393,21.6142,13.2574,1115.0216,9.0488,15.6476,52.0314,931.35,276,183
2980000,2980031,-106.5805,1.2966,0.8157,1867.2868,0.6373,0.9821,51.8596,4207.63,0,4
740000,740033,-102.7531,5.5934,2.5482,1480.4766,2.5642,3.7111,70.0197,2764.24,14,350
870000,870021,-103.4053,21.9002,12.6741,1270.8899,9.7668,14.4946,61.9023,386.06,14275,4
480000,480013,-94.2246,51.6654,22.4587,273.2187,11.9182,29.9385,47.0785,2850.94,0,1031
1760000,1760032,-98.9724,18.7404,12.6971,415.5163,10.4063,13.4709,64.2026,1312.66,53164346,8707
150000,150021,-103.0606,10.2463,4.8283,1918.9701,4.0613,7.4118,66.0741,706.22,469,8
2320000,2320013,-98.6387,15.0532,7.0453,1169.4983,5.0065,9.4344,72.0572,572.62,5875,2
1000000,1000021,-99.8795,24.9645,14.1118,1669.0962,10.0262,18.1695,72.163,504.46,111,821
990000,990024,-101.5465,29.6169,21.919,1128.3923,20.9777,14.0304,64.6604,7187.54,2648,1733
2010000,2010022,-100.1957,8.9785,3.9392,1401.4594,3.1245,5.5792,53.0697,512.05,335,8
1490000,1490012,-97.7038,13.2738,5.5005,1439.7264,3.3415,7.6799,59.954,547.28,929,336
560000,560032,-97.3016,51.4059,34.1957,184.2429,29.7425,38.3973,53.3502,1699.01,51584448,105
2660000,2660021,-102.7332,12.3624,6.4475,1508.4504,5.5261,8.4082,84.3502,2489.57,716,8
1330000,1330021,-103.1199,20.4741,10.716,1083.3142,7.0953,13.7284,62.6853,1144.11,482,0
1310000,1310023,-99.1477,47.5398,26.6057,508.862,17.2713,32.8835,48.416,903.89,142982,16
540000,540013,-102.3834,30.8703,21.1919,424.1976,9.4781,23.8776,43.1655,5444.76,220,594
1600000,1600023,-105.0647,5.1999,2.1204,1127.0268,1.4292,3.8441,58.8818,4620.71,514,167
2400000,2400022,-103.6598,15.0987,7.1064,1322.1011,2.9231,11.4081,64.2896,731.43,3763,307
520000,520022,-104.8917,3.3352,1.6537,1005.9819,1.8483,2.3997,53.8191,1412.31,7632641,1226
2290000,2290012,-105.6387,5.2201,3.1243,1792.5225,3.868,3.5957,373.836,5653.44,3220294,2958
3250000,3250033,-102.6745,23.7135,12.2966,1069.881,9.4612,9.8884,78.7681,988.02,2651962,9121
2040000,2040013,-106.9636,5.4836,4.47,1485.7003,4.606,4.6868,64.5101,5816.8,7,174
1970000,1970014,-100.0981,16.1276,6.0655,1115.3478,2.7446,9.2361,64.2015,1260.96,12410,3
2680000,2680011,-101.8414,9.4646,4.4689,1455.0147,2.2508,5.9406,83.5801,609.25,17283,527
1880000,1880033,-104.6881,11.8882,6.2917,1481.7393,3.8592,5.0219,71.6603,7250.42,486862,64
2180000,2180012,-100.8126,43.86,26.9504,127.8383,12.467,29.2495,48.9458,7175.67,951121,1315
1970000,1970012,-102.2882,12.7477,5.4542,1135.5597,3.4144,7.7302,63.8908,1084.22,12410,3
1010000,1010015,-89.7818,41.6568,18.4827,465.8057,13.3293,24.5519,38.8926,1048.47,208,12
2820000,2820011,-99.7289,8.3132,4.1501,1046.8572,2.5002,4.9752,57.1891,358.98,2,174
